entry_time,side,entry_price,exit_time,exit_price
2025-01-02 14:30:00,BUY,96812.44,2025-01-04 13:30:00,97876.31
2025-01-04 14:00:00,SELL,97867.13,2025-01-07 13:30:00,100713.91
2025-01-09 17:30:00,SELL,93452.63,2025-01-09 19:45:00,91909.59
2025-01-10 17:15:00,BUY,94363.64,2025-01-10 17:45:00,95793.05
2025-01-13 16:15:00,SELL,91693.49,2025-01-13 19:15:00,92172.0
2025-01-13 20:00:00,SELL,91966.81,2025-01-14 13:30:00,96296.0
2025-01-14 15:00:00,BUY,96805.62,2025-01-14 16:00:00,96045.56
2025-01-14 17:45:00,BUY,96527.96,2025-01-16 13:30:00,99391.59
2025-01-16 13:45:00,SELL,99084.04,2025-01-16 14:45:00,97618.89
2025-01-18 16:30:00,SELL,103386.0,2025-01-18 17:30:00,104093.33
2025-01-18 17:45:00,SELL,103826.16,2025-01-18 19:30:00,104439.29
2025-01-22 15:15:00,SELL,104387.02,2025-01-23 13:30:00,102164.9
2025-01-23 19:30:00,SELL,104782.4,2025-01-24 14:30:00,106222.0
2025-01-24 19:15:00,BUY,106369.85,2025-01-24 19:45:00,105760.94
2025-01-26 14:30:00,BUY,104958.91,2025-01-28 13:30:00,102571.65
2025-01-28 14:45:00,BUY,102641.99,2025-01-28 16:15:00,102041.99
2025-01-28 17:00:00,BUY,103035.9,2025-01-28 17:30:00,102446.01
2025-01-28 18:00:00,BUY,103030.41,2025-01-28 18:45:00,102205.79
2025-02-02 15:00:00,SELL,99077.24,2025-02-02 17:15:00,97848.01
2025-02-05 15:15:00,BUY,98487.99,2025-02-05 16:00:00,97696.0
2025-02-05 20:00:00,BUY,97585.7,2025-02-07 13:45:00,98828.01
2025-02-07 18:30:00,BUY,98082.38,2025-02-07 19:00:00,97411.78
2025-02-10 13:30:00,BUY,97756.01,2025-02-10 15:15:00,97069.99
2025-02-10 17:45:00,BUY,97500.0,2025-02-12 13:30:00,94520.37
2025-02-12 15:15:00,BUY,95611.09,2025-02-12 16:45:00,96986.14
2025-02-13 14:00:00,SELL,95857.86,2025-02-13 15:30:00,96414.5
2025-02-13 15:45:00,SELL,95998.0,2025-02-15 13:30:00,97755.49
2025-02-15 15:00:00,BUY,97702.01,2025-02-16 13:30:00,96918.5
2025-02-16 15:30:00,SELL,97007.23,2025-02-20 13:45:00,97562.19
2025-02-20 16:00:00,BUY,97413.51,2025-02-20 19:00:00,98415.1
2025-02-21 15:00:00,BUY,99195.06,2025-02-21 15:15:00,98216.01
2025-02-22 14:00:00,BUY,96608.53,2025-02-23 13:30:00,95886.25
2025-02-24 13:45:00,SELL,95594.57,2025-02-24 15:15:00,94333.52
2025-02-24 17:45:00,SELL,94644.0,2025-02-26 13:30:00,87763.16
2025-02-26 15:15:00,SELL,87684.33,2025-02-26 16:45:00,86805.99
2025-03-04 14:45:00,SELL,83201.41,2025-03-04 15:15:00,82365.5
2025-03-08 16:15:00,SELL,85934.63,2025-03-08 19:30:00,86378.24
2025-03-11 15:00:00,BUY,81225.68,2025-03-11 16:00:00,80668.97
2025-03-11 16:15:00,BUY,81487.27,2025-03-11 17:15:00,80883.07
2025-03-11 17:30:00,BUY,81425.14,2025-03-11 18:00:00,82433.76
2025-03-14 14:30:00,BUY,83135.56,2025-03-14 15:00:00,84258.24
2025-03-15 14:30:00,BUY,84204.31,2025-03-18 13:30:00,81404.94
2025-03-18 16:30:00,SELL,81706.6,2025-03-18 19:45:00,82317.21
2025-03-19 18:00:00,BUY,84516.12,2025-03-19 18:45:00,85612.25
2025-03-20 15:15:00,SELL,85686.41,2025-03-20 15:45:00,84691.76
2025-03-23 19:00:00,BUY,85051.47,2025-03-24 13:30:00,87408.0
2025-03-24 16:30:00,BUY,88004.7,2025-03-28 13:30:00,85304.11
2025-03-28 13:45:00,SELL,84994.0,2025-03-28 15:45:00,84051.16
2025-03-29 16:15:00,SELL,82415.1,2025-04-01 13:30:00,83734.27
2025-04-01 14:45:00,BUY,84195.92,2025-04-01 15:30:00,85331.24
2025-04-05 17:45:00,SELL,82869.53,2025-04-06 16:45:00,81970.0
2025-04-09 15:00:00,BUY,77394.0,2025-04-09 16:45:00,78267.68
2025-04-10 13:30:00,SELL,80891.99,2025-04-10 14:30:00,81639.99
2025-04-10 14:45:00,SELL,81272.19,2025-04-10 15:15:00,80232.01
2025-04-11 15:15:00,BUY,82184.93,2025-04-11 17:30:00,83943.99
2025-04-12 17:15:00,BUY,84608.69,2025-04-13 13:30:00,83757.97
2025-04-13 19:30:00,SELL,83530.86,2025-04-13 19:45:00,83981.31
2025-04-14 14:15:00,BUY,85074.28,2025-04-14 15:00:00,84560.55
2025-04-14 16:30:00,BUY,84663.81,2025-04-15 13:30:00,86057.37
2025-04-15 14:00:00,BUY,85774.51,2025-04-15 14:15:00,84958.55
2025-04-18 15:00:00,SELL,84493.67,2025-04-19 13:30:00,85390.09
2025-04-19 17:45:00,BUY,85239.92,2025-04-22 13:30:00,90165.79
2025-04-23 16:15:00,BUY,93371.7,2025-04-27 18:30:00,94364.37
2025-04-28 18:45:00,BUY,94175.89,2025-05-01 13:30:00,96163.07
2025-05-01 14:00:00,BUY,96224.0,2025-05-01 15:00:00,97384.98
2025-05-01 17:45:00,BUY,96794.17,2025-05-06 13:30:00,93952.68
2025-05-06 16:45:00,SELL,94241.01,2025-05-06 18:15:00,94918.5
2025-05-08 14:15:00,BUY,99499.99,2025-05-08 15:15:00,100634.94
2025-05-09 14:15:00,SELL,102658.94,2025-05-09 17:45:00,103199.99
2025-05-09 19:15:00,SELL,103000.0,2025-05-12 13:30:00,103801.89
2025-05-12 14:00:00,SELL,104000.01,2025-05-12 14:15:00,102953.74
2025-05-22 14:15:00,BUY,111265.56,2025-05-23 13:30:00,109055.92
2025-05-23 14:15:00,SELL,109550.16,2025-06-01 13:30:00,104328.44
2025-06-01 18:15:00,SELL,104721.92,2025-06-03 13:30:00,105579.94
2025-06-03 14:00:00,SELL,105201.73,2025-06-03 14:15:00,105789.96
2025-06-03 16:45:00,SELL,105817.63,2025-06-03 19:15:00,106351.96
2025-06-03 20:00:00,SELL,106000.0,2025-06-04 13:45:00,104761.17
2025-06-04 16:15:00,SELL,105124.69,2025-06-07 13:30:00,105651.17
2025-06-07 17:00:00,BUY,105495.71,2025-06-12 13:30:00,107141.99
2025-06-12 15:15:00,SELL,107211.31,2025-06-12 17:00:00,107879.7
2025-06-12 18:30:00,SELL,107581.22,2025-06-12 20:00:00,106486.67
2025-06-14 14:15:00,SELL,105005.86,2025-06-16 13:30:00,106758.64
2025-06-16 13:45:00,BUY,107160.06,2025-06-16 18:45:00,108255.96
2025-06-19 18:30:00,SELL,104413.99,2025-06-20 13:30:00,105874.05
2025-06-21 16:15:00,BUY,103634.4,2025-06-21 18:45:00,102645.22
2025-06-25 16:00:00,BUY,107358.29,2025-07-01 13:30:00,106427.17
2025-07-01 14:15:00,SELL,106546.03,2025-07-01 19:30:00,105459.93
2025-07-07 15:45:00,SELL,108292.59,2025-07-10 13:30:00,110798.3
2025-07-10 14:15:00,SELL,110872.0,2025-07-10 16:00:00,111472.62
2025-07-11 13:45:00,BUY,117989.18,2025-07-11 15:45:00,116902.59
2025-07-11 17:45:00,BUY,117640.0,2025-07-13 14:15:00,119150.0
2025-07-13 17:00:00,BUY,118620.15,2025-07-17 13:30:00,117640.23
2025-07-17 16:30:00,SELL,118453.41,2025-07-17 17:45:00,119261.5
2025-07-17 19:45:00,SELL,118959.66,2025-07-19 14:45:00,117668.14
2025-07-19 15:15:00,BUY,118192.36,2025-07-22 13:30:00,119464.0
2025-07-22 14:45:00,BUY,119060.0,2025-07-23 13:30:00,117610.0
2025-07-23 15:00:00,SELL,117840.01,2025-07-23 15:45:00,118567.39
2025-07-23 16:00:00,SELL,117910.65,2025-07-29 13:30:00,118840.01
2025-08-03 13:30:00,BUY,113894.21,2025-08-05 14:15:00,113248.66
2025-08-05 18:15:00,SELL,113439.99,2025-08-06 13:30:00,114171.0
2025-08-08 14:30:00,SELL,116540.9,2025-08-10 13:30:00,118546.0
2025-08-10 19:00:00,BUY,118648.11,2025-08-12 15:45:00,119933.0
2025-08-12 18:00:00,BUY,119784.31,2025-08-14 13:30:00,118270.02
2025-08-14 19:30:00,SELL,118187.56,2025-08-21 13:30:00,113539.09
2025-08-21 14:30:00,SELL,113190.96,2025-08-23 13:30:00,114948.39
2025-08-23 17:15:00,SELL,114985.9,2025-08-24 19:30:00,113079.32
2025-08-25 13:30:00,SELL,110831.99,2025-08-25 13:45:00,111491.69
2025-08-25 19:00:00,SELL,112150.01,2025-08-25 19:45:00,110716.13
2025-08-26 13:45:00,BUY,110094.66,2025-08-26 16:00:00,109509.45
2025-08-26 16:45:00,BUY,110153.84,2025-08-26 20:00:00,111262.68
2025-08-29 13:30:00,SELL,109716.57,2025-08-29 14:30:00,108564.0
2025-08-29 19:30:00,SELL,108535.73,2025-08-31 18:30:00,109151.18
2025-09-05 18:30:00,BUY,111233.7,2025-09-06 15:30:00,110609.07
2025-09-07 19:15:00,BUY,111132.89,2025-09-12 13:30:00,114950.01
2025-09-12 14:30:00,SELL,114865.31,2025-09-12 16:45:00,115495.56
2025-09-18 13:45:00,BUY,117432.04,2025-09-19 13:30:00,116272.81
2025-09-19 17:00:00,SELL,115810.11,2025-09-24 13:30:00,113104.49
2025-09-24 14:00:00,BUY,113149.82,2025-09-25 13:30:00,110720.91
2025-09-25 15:00:00,SELL,111317.95,2025-09-25 17:00:00,110160.0
2025-09-27 13:45:00,SELL,109306.61,2025-09-28 15:15:00,109899.99
2025-09-30 14:00:00,SELL,113135.93,2025-09-30 18:45:00,113714.56
2025-10-01 18:45:00,BUY,117234.01,2025-10-06 13:30:00,124565.8
2025-10-12 13:30:00,BUY,111818.31,2025-10-12 15:00:00,113218.53
2025-10-13 14:15:00,SELL,114318.48,2025-10-13 16:00:00,114912.79
2025-10-13 16:15:00,SELL,114457.27,2025-10-13 17:45:00,115040.55
2025-10-14 15:00:00,SELL,111199.62,2025-10-14 15:30:00,112137.51
2025-10-14 19:30:00,SELL,112104.75,2025-10-15 15:00:00,110838.61
2025-10-15 18:00:00,SELL,110983.0,2025-10-18 13:30:00,106887.76
2025-10-18 14:45:00,BUY,107028.36,2025-10-25 13:30:00,111568.24
2025-10-25 13:45:00,BUY,111680.91,2025-10-29 13:30:00,113017.11
2025-10-31 13:45:00,BUY,110157.54,2025-10-31 16:45:00,108845.4
2025-10-31 18:30:00,BUY,109750.49,2025-11-04 13:30:00,104193.56
2025-11-04 13:45:00,SELL,103924.25,2025-11-04 14:45:00,104500.01
2025-11-04 15:00:00,SELL,104084.68,2025-11-04 16:15:00,102740.17
2025-11-06 14:00:00,SELL,103030.78,2025-11-06 15:30:00,101806.6
2025-11-06 19:15:00,SELL,101813.37,2025-11-10 13:30:00,106408.37
2025-11-10 17:30:00,BUY,105700.0,2025-11-11 13:30:00,104352.91
2025-11-14 17:30:00,SELL,96341.12,2025-11-14 18:45:00,95075.53
2025-11-21 15:15:00,SELL,83623.77,2025-11-21 16:45:00,84919.59
2025-11-21 18:00:00,SELL,83674.03,2025-11-21 18:30:00,84529.65
2025-11-21 19:45:00,SELL,84209.3,2025-11-22 16:30:00,84828.0
2025-11-23 17:15:00,BUY,86889.24,2025-11-25 17:30:00,87943.12
2025-11-25 18:45:00,SELL,87239.29,2025-11-25 19:15:00,86296.82
